Universidad,Curso,Genero,Valor
Alcalá, "1995-1996", Mujeres, 132
Alcalá, "1994-1995", Total, 423
Alcalá, "1994-1995", Mujeres, 111
Alcalá, "1993-1994", Total, 376
Alcalá, "1993-1994", Mujeres, 105
Alcalá, "1992-1993", Total, 305
Alcalá, "1992-1993", Mujeres, 81
Alcalá, "1991-1992", Total, 200
Alcalá, "1991-1992", Mujeres, 56
Alcalá, "1990-1991", Total, 114
Alcalá, "1990-1991", Mujeres, 33
Alicante, "2016-2017", Total, 1298
Alicante, "2016-2017", Mujeres, 212
Alicante, "2015-2016", Total, 1265
Alicante, "2015-2016", Mujeres, 187
Alicante, "2014-2015", Total, 1315
Alicante, "2014-2015", Mujeres, 190
Alicante, "2013-2014", Total, 1295
Alicante, "2013-2014", Mujeres, 193
Alicante, "2012-2013", Total, 1310
Alicante, "2012-2013", Mujeres, 186
Alicante, "2011-2012", Total, 1357
Alicante, "2011-2012", Mujeres, 186
Alicante, "2010-2011", Total, 1345
Alicante, "2010-2011", Mujeres, 187
Alicante, "2009-2010", Total, 1349
Alicante, "2009-2010", Mujeres, 189
Alicante, "2008-2009", Total, 1468
Alicante, "2008-2009", Mujeres, 192
Alicante, "2007-2008", Total, 1644
Alicante, "2007-2008", Mujeres, 208
Alicante, "2006-2007", Total, 1842
Alicante, "2006-2007", Mujeres, 246
Alicante, "2005-2006", Total, 2037
Alicante, "2005-2006", Mujeres, 285
Alicante, "2004-2005", Total, 2176
Alicante, "2004-2005", Mujeres, 324
Alicante, "2003-2004", Total, 2270
Alicante, "2003-2004", Mujeres, 338
Alicante, "2002-2003", Total, 2271
Alicante, "2002-2003", Mujeres, 339
Alicante, "2001-2002", Total, 2243
Alicante, "2001-2002", Mujeres, 340
Alicante, "2000-2001", Total, 2214
Alicante, "2000-2001", Mujeres, 346
Alicante, "1999-2000", Total, 2267
Alicante, "1999-2000", Mujeres, 355
Alicante, "1998-1999", Total, 2163
Alicante, "1998-1999", Mujeres, 359
Alicante, "1997-1998", Total, 2218
Alicante, "1997-1998", Mujeres, 394
Alicante, "1996-1997", Total, 1933
Alicante, "1996-1997", Mujeres, 363
Alicante, "1995-1996", Total, 1870
Alicante, "1995-1996", Mujeres, 378
Alicante, "1994-1995", Total, 1811
Alicante, "1994-1995", Mujeres, 362
Alicante, "1993-1994", Total, 1585
Alicante, "1993-1994", Mujeres, 328
Alicante, "1992-1993", Total, 1317
Alicante, "1992-1993", Mujeres, 279
Alicante, "1991-1992", Total, 1041
Alicante, "1991-1992", Mujeres, 215
Almería, "2016-2017", Total, 438
Almería, "2016-2017", Mujeres, 40
Almería, "2015-2016", Total, 394
Almería, "2015-2016", Mujeres, 42
Almería, "2014-2015", Total, 368
Almería, "2014-2015", Mujeres, 42
Almería, "2013-2014", Total, 364
Almería, "2013-2014", Mujeres, 43
Almería, "2012-2013", Total, 429
Almería, "2012-2013", Mujeres, 52
Almería, "2011-2012", Total, 483
Almería, "2011-2012", Mujeres, 58
Almería, "2010-2011", Total, 520
Almería, "2010-2011", Mujeres, 67
Almería, "2009-2010", Total, 617
Almería, "2009-2010", Mujeres, 84
Almería, "2008-2009", Total, 688
Almería, "2008-2009", Mujeres, 105
Almería, "2007-2008", Total, 766
Almería, "2007-2008", Mujeres, 132
Almería, "2006-2007", Total, 879
Almería, "2006-2007", Mujeres, 161
Almería, "2005-2006", Total, 952
Almería, "2005-2006", Mujeres, 185
Almería, "2004-2005", Total, 979
Almería, "2004-2005", Mujeres, 186
Almería, "2003-2004", Total, 1002
Almería, "2003-2004", Mujeres, 192
Almería, "2002-2003", Total, 1020
Almería, "2002-2003", Mujeres, 196
Almería, "2001-2002", Total, 951
Almería, "2001-2002", Mujeres, 174
Almería, "2000-2001", Total, 908
Almería, "2000-2001", Mujeres, 160
Almería, "1999-2000", Total, 819
Almería, "1999-2000", Mujeres, 131
Almería, "1998-1999", Total, 705
Almería, "1998-1999", Mujeres, 115
Almería, "1997-1998", Total, 640
Almería, "1997-1998", Mujeres, 108
Almería, "1996-1997", Total, 637
Almería, "1996-1997", Mujeres, 112
Almería, "1995-1996", Total, 565
Almería, "1995-1996", Mujeres, 100
Almería, "1994-1995", Total, 555
Almería, "1994-1995", Mujeres, 96
Almería, "1993-1994", Total, 509
Almería, "1993-1994", Mujeres, 85
Autónoma de Barcelona, "2016-2017", Total, 1218
Autónoma de Barcelona, "2016-2017", Mujeres, 98
Autónoma de Barcelona, "2015-2016", Total, 1241
Autónoma de Barcelona, "2015-2016", Mujeres, 103
Autónoma de Barcelona, "2014-2015", Total, 1515
Autónoma de Barcelona, "2014-2015", Mujeres, 130
Autónoma de Barcelona, "2013-2014", Total, 2160
Autónoma de Barcelona, "2013-2014", Mujeres, 180
Autónoma de Barcelona, "2012-2013", Total, 1313
Autónoma de Barcelona, "2012-2013", Mujeres, 113
Autónoma de Barcelona, "2011-2012", Total, 1534
Autónoma de Barcelona, "2011-2012", Mujeres, 126
Autónoma de Barcelona, "2010-2011", Total, 1581
Autónoma de Barcelona, "2010-2011", Mujeres, 140
Autónoma de Barcelona, "2009-2010", Total, 1691
Autónoma de Barcelona, "2009-2010", Mujeres, 161
Autónoma de Barcelona, "2008-2009", Total, 1753
Autónoma de Barcelona, "2008-2009", Mujeres, 161
Autónoma de Barcelona, "2007-2008", Total, 1974
Autónoma de Barcelona, "2007-2008", Mujeres, 179
Autónoma de Barcelona, "2006-2007", Total, 2272
Autónoma de Barcelona, "2006-2007", Mujeres, 299
Autónoma de Barcelona, "2005-2006", Total, 2519
Autónoma de Barcelona, "2005-2006", Mujeres, 260
Autónoma de Barcelona, "2004-2005", Total, 2864
Autónoma de Barcelona, "2004-2005", Mujeres, 490
Autónoma de Barcelona, "2003-2004", Total, 3053
Autónoma de Barcelona, "2003-2004", Mujeres, 551
Autónoma de Barcelona, "2002-2003", Total, 3172
Autónoma de Barcelona, "2002-2003", Mujeres, 695
Autónoma de Barcelona, "2001-2002", Total, 3025
Autónoma de Barcelona, "2001-2002", Mujeres, 680
Autónoma de Barcelona, "2000-2001", Total, 3155
Autónoma de Barcelona, "2000-2001", Mujeres, 717
Autónoma de Barcelona, "1999-2000", Total, 3055
Autónoma de Barcelona, "1999-2000", Mujeres, 741
Autónoma de Barcelona, "1998-1999", Total, 3030
Autónoma de Barcelona, "1998-1999", Mujeres, 903
Autónoma de Barcelona, "1997-1998", Total, 3056
Autónoma de Barcelona, "1997-1998", Mujeres, 812
Autónoma de Barcelona, "1996-1997", Total, 2989
Autónoma de Barcelona, "1996-1997", Mujeres, 797
Autónoma de Barcelona, "1995-1996", Total, 2828
Autónoma de Barcelona, "1995-1996", Mujeres, 756
Autónoma de Barcelona, "1994-1995", Total, 2715
Autónoma de Barcelona, "1994-1995", Mujeres, 500
Autónoma de Barcelona, "1993-1994", Total, 2508
Autónoma de Barcelona, "1993-1994", Mujeres, 455
Autónoma de Barcelona, "1992-1993", Total, 2301
Autónoma de Barcelona, "1992-1993", Mujeres, 442
Autónoma de Barcelona, "1991-1992", Total, 1972
Autónoma de Barcelona, "1991-1992", Mujeres, 387
Autónoma de Barcelona, "1990-1991", Total, 1667
Autónoma de Barcelona, "1990-1991", Mujeres, 351
Autónoma de Barcelona, "1989-1990", Total, 1415
Autónoma de Barcelona, "1989-1990", Mujeres, 311
Autónoma de Barcelona, "1988-1989", Total, 1358
Autónoma de Barcelona, "1988-1989", Mujeres, 306
Autónoma de Barcelona, "1987-1988", Total, 904
Autónoma de Barcelona, "1987-1988", Mujeres, 216
Autónoma de Barcelona, "1986-1987", Total, 892
Autónoma de Barcelona, "1986-1987", Mujeres, 209
Autónoma de Barcelona, "1985-1986", Total, 810
Autónoma de Barcelona, "1985-1986", Mujeres, 179
Autónoma de Madrid, "2016-2017", Total, 663
Autónoma de Madrid, "2016-2017", Mujeres, 90
Autónoma de Madrid, "2015-2016", Total, 638
Autónoma de Madrid, "2015-2016", Mujeres, 82
Autónoma de Madrid, "2014-2015", Total, 646
Autónoma de Madrid, "2014-2015", Mujeres, 85
Autónoma de Madrid, "2013-2014", Total, 646
Autónoma de Madrid, "2013-2014", Mujeres, 100
Autónoma de Madrid, "2012-2013", Total, 741
Autónoma de Madrid, "2012-2013", Mujeres, 114
Autónoma de Madrid, "2011-2012", Total, 809
Autónoma de Madrid, "2011-2012", Mujeres, 141
Autónoma de Madrid, "2010-2011", Total, 848
Autónoma de Madrid, "2010-2011", Mujeres, 156
Autónoma de Madrid, "2009-2010", Total, 951
Autónoma de Madrid, "2009-2010", Mujeres, 181
Autónoma de Madrid, "2008-2009", Total, 1066
Autónoma de Madrid, "2008-2009", Mujeres, 210
Autónoma de Madrid, "2007-2008", Total, 1100
Autónoma de Madrid, "2007-2008", Mujeres, 224
Autónoma de Madrid, "2006-2007", Total, 1182
Autónoma de Madrid, "2006-2007", Mujeres, 236
Autónoma de Madrid, "2005-2006", Total, 1233
Autónoma de Madrid, "2005-2006", Mujeres, 244
Autónoma de Madrid, "2004-2005", Total, 1301
Autónoma de Madrid, "2004-2005", Mujeres, 258
Autónoma de Madrid, "2003-2004", Total, 1315
Autónoma de Madrid, "2003-2004", Mujeres, 255
Autónoma de Madrid, "2002-2003", Total, 1245
Autónoma de Madrid, "2002-2003", Mujeres, 216
Autónoma de Madrid, "2001-2002", Total, 1147
Autónoma de Madrid, "2001-2002", Mujeres, 200
Autónoma de Madrid, "2000-2001", Total, 1036
Autónoma de Madrid, "2000-2001", Mujeres, 175
Autónoma de Madrid, "1999-2000", Total, 875
Autónoma de Madrid, "1999-2000", Mujeres, 132
Autónoma de Madrid, "1998-1999", Total, 737
Autónoma de Madrid, "1998-1999", Mujeres, 118
Autónoma de Madrid, "1997-1998", Total, 615
Autónoma de Madrid, "1997-1998", Mujeres, 106
Autónoma de Madrid, "1996-1997", Total, 516
Autónoma de Madrid, "1996-1997", Mujeres, 113
Autónoma de Madrid, "1995-1996", Total, 387
Autónoma de Madrid, "1995-1996", Mujeres, 103
Autónoma de Madrid, "1994-1995", Total, 423
Autónoma de Madrid, "1994-1995", Mujeres, 124
Autónoma de Madrid, "1993-1994", Total, 198
Autónoma de Madrid, "1993-1994", Mujeres, 20
Autónoma de Madrid, "1992-1993", Total, 102
Autónoma de Madrid, "1992-1993", Mujeres, 19
Barcelona, "2016-2017", Total, 294
Barcelona, "2016-2017", Mujeres, 27
Barcelona, "2015-2016", Total, 282
Barcelona, "2015-2016", Mujeres, 23
Barcelona, "2014-2015", Total, 295
Barcelona, "2014-2015", Mujeres, 23
Barcelona, "2013-2014", Total, 347
Barcelona, "2013-2014", Mujeres, 37
Barcelona, "2012-2013", Total, 351
Barcelona, "2012-2013", Mujeres, 32
Barcelona, "2011-2012", Total, 324
Barcelona, "2011-2012", Mujeres, 28
Barcelona, "2010-2011", Total, 368
Barcelona, "2010-2011", Mujeres, 37
Barcelona, "2009-2010", Total, 357
Barcelona, "2009-2010", Mujeres, 34
Barcelona, "2008-2009", Total, 350
Barcelona, "2008-2009", Mujeres, 37
Barcelona, "2007-2008", Total, 359
Barcelona, "2007-2008", Mujeres, 40
Barcelona, "2006-2007", Total, 335
Barcelona, "2006-2007", Mujeres, 44
Barcelona, "2005-2006", Total, 310
Barcelona, "2005-2006", Mujeres, 40
Barcelona, "2004-2005", Total, 276
Barcelona, "2004-2005", Mujeres, 37
Barcelona, "2003-2004", Total, 221
Barcelona, "2003-2004", Mujeres, 29
Barcelona, "2002-2003", Total, 158
Barcelona, "2002-2003", Mujeres, 25
Barcelona, "2001-2002", Total, 95
Barcelona, "2001-2002", Mujeres, 20
Barcelona, "1991-1992", Total, 572
Barcelona, "1991-1992", Mujeres, 113
Barcelona, "1990-1991", Total, 369
Barcelona, "1990-1991", Mujeres, 94
Burgos, "2016-2017", Total, 359
Burgos, "2016-2017", Mujeres, 42
Burgos, "2015-2016", Total, 270
Burgos, "2015-2016", Mujeres, 31
Burgos, "2014-2015", Total, 260
Burgos, "2014-2015", Mujeres, 34
Burgos, "2013-2014", Total, 243
Burgos, "2013-2014", Mujeres, 35
Burgos, "2012-2013", Total, 270
Burgos, "2012-2013", Mujeres, 46
Burgos, "2011-2012", Total, 338
Burgos, "2011-2012", Mujeres, 65
Burgos, "2010-2011", Total, 366
Burgos, "2010-2011", Mujeres, 79
Burgos, "2009-2010", Total, 400
Burgos, "2009-2010", Mujeres, 99
Burgos, "2008-2009", Total, 439
Burgos, "2008-2009", Mujeres, 120
Burgos, "2007-2008", Total, 486
Burgos, "2007-2008", Mujeres, 133
Burgos, "2006-2007", Total, 566
Burgos, "2006-2007", Mujeres, 153
Burgos, "2005-2006", Total, 611
Burgos, "2005-2006", Mujeres, 175
Burgos, "2004-2005", Total, 648
Burgos, "2004-2005", Mujeres, 174
Burgos, "2003-2004", Total, 623
Burgos, "2003-2004", Mujeres, 170
Burgos, "2002-2003", Total, 584
Burgos, "2002-2003", Mujeres, 173
Burgos, "2001-2002", Total, 476
Burgos, "2001-2002", Mujeres, 143
Burgos, "2000-2001", Total, 379
Burgos, "2000-2001", Mujeres, 126
Burgos, "1999-2000", Total, 303
Burgos, "1999-2000", Mujeres, 100
Burgos, "1998-1999", Total, 232
Burgos, "1998-1999", Mujeres, 82
Burgos, "1997-1998", Total, 183
Burgos, "1997-1998", Mujeres, 68
Burgos, "1996-1997", Total, 129
Burgos, "1996-1997", Mujeres, 46
Burgos, "1995-1996", Total, 70
Burgos, "1995-1996", Mujeres, 24
Cantabria, "2016-2017", Total, 270
Cantabria, "2016-2017", Mujeres, 28
Cantabria, "2015-2016", Total, 265
Cantabria, "2015-2016", Mujeres, 30
Cantabria, "2014-2015", Total, 247
Cantabria, "2014-2015", Mujeres, 32
Cantabria, "2013-2014", Total, 249
Cantabria, "2013-2014", Mujeres, 35
Cantabria, "2012-2013", Total, 239
Cantabria, "2012-2013", Mujeres, 38
Cantabria, "2011-2012", Total, 233
Cantabria, "2011-2012", Mujeres, 40
Cantabria, "2010-2011", Total, 214
Cantabria, "2010-2011", Mujeres, 37
Cantabria, "2009-2010", Total, 183
Cantabria, "2009-2010", Mujeres, 30
Cantabria, "2008-2009", Total, 165
Cantabria, "2008-2009", Mujeres, 23
Cantabria, "2007-2008", Total, 126
Cantabria, "2007-2008", Mujeres, 18
Cantabria, "2006-2007", Total, 94
Cantabria, "2006-2007", Mujeres, 11
Cantabria, "2005-2006", Total, 54
Cantabria, "2005-2006", Mujeres, 8
Carlos III de Madrid, "2016-2017", Total, 834
Carlos III de Madrid, "2016-2017", Mujeres, 119
Carlos III de Madrid, "2015-2016", Total, 863
Carlos III de Madrid, "2015-2016", Mujeres, 136
Carlos III de Madrid, "2014-2015", Total, 1024
Carlos III de Madrid, "2014-2015", Mujeres, 172
Carlos III de Madrid, "2013-2014", Total, 878
Carlos III de Madrid, "2013-2014", Mujeres, 131
Carlos III de Madrid, "2012-2013", Total, 945
Carlos III de Madrid, "2012-2013", Mujeres, 142
Carlos III de Madrid, "2011-2012", Total, 1095
Carlos III de Madrid, "2011-2012", Mujeres, 180
Carlos III de Madrid, "2010-2011", Total, 1120
Carlos III de Madrid, "2010-2011", Mujeres, 193
Carlos III de Madrid, "2009-2010", Total, 1205
Carlos III de Madrid, "2009-2010", Mujeres, 190
Carlos III de Madrid, "2008-2009", Total, 1211
Carlos III de Madrid, "2008-2009", Mujeres, 210
Carlos III de Madrid, "2007-2008", Total, 1334
Carlos III de Madrid, "2007-2008", Mujeres, 227
Carlos III de Madrid, "2006-2007", Total, 1515
Carlos III de Madrid, "2006-2007", Mujeres, 385
Carlos III de Madrid, "2005-2006", Total, 1638
Carlos III de Madrid, "2005-2006", Mujeres, 310
Carlos III de Madrid, "2004-2005", Total, 1777
Carlos III de Madrid, "2004-2005", Mujeres, 379
Carlos III de Madrid, "2003-2004", Total, 1692
Carlos III de Madrid, "2003-2004", Mujeres, 379
Carlos III de Madrid, "2002-2003", Total, 1454
Carlos III de Madrid, "2002-2003", Mujeres, 346
Carlos III de Madrid, "2001-2002", Total, 1263
Carlos III de Madrid, "2001-2002", Mujeres, 334
Carlos III de Madrid, "2000-2001", Total, 1080
Carlos III de Madrid, "2000-2001", Mujeres, 299
Carlos III de Madrid, "1999-2000", Total, 926
Carlos III de Madrid, "1999-2000", Mujeres, 279
Carlos III de Madrid, "1998-1999", Total, 849
Carlos III de Madrid, "1998-1999", Mujeres, 259
Carlos III de Madrid, "1997-1998", Total, 745
Carlos III de Madrid, "1997-1998", Mujeres, 224
Carlos III de Madrid, "1996-1997", Total, 717
Carlos III de Madrid, "1996-1997", Mujeres, 221
Carlos III de Madrid, "1995-1996", Total, 587
Carlos III de Madrid, "1995-1996", Mujeres, 191
Carlos III de Madrid, "1994-1995", Total, 526
Carlos III de Madrid, "1994-1995", Mujeres, 173
Carlos III de Madrid, "1993-1994", Total, 428
Carlos III de Madrid, "1993-1994", Mujeres, 139
Carlos III de Madrid, "1992-1993", Total, 318
Carlos III de Madrid, "1992-1993", Mujeres, 104
Carlos III de Madrid, "1991-1992", Total, 289
Carlos III de Madrid, "1991-1992", Mujeres, 92
Carlos III de Madrid, "1990-1991", Total, 145
Carlos III de Madrid, "1990-1991", Mujeres, 48
Castilla-La Mancha, "2016-2017", Total, 1044
Castilla-La Mancha, "2016-2017", Mujeres, 139
Castilla-La Mancha, "2015-2016", Total, 1031
Castilla-La Mancha, "2015-2016", Mujeres, 142
Castilla-La Mancha, "2014-2015", Total, 991
Castilla-La Mancha, "2014-2015", Mujeres, 154
Castilla-La Mancha, "2013-2014", Total, 1037
Castilla-La Mancha, "2013-2014", Mujeres, 171
Castilla-La Mancha, "2012-2013", Total, 1166
Castilla-La Mancha, "2012-2013", Mujeres, 214
Castilla-La Mancha, "2011-2012", Total, 1292
Castilla-La Mancha, "2011-2012", Mujeres, 249
Castilla-La Mancha, "2010-2011", Total, 1341
Castilla-La Mancha, "2010-2011", Mujeres, 273
Castilla-La Mancha, "2009-2010", Total, 1363
Castilla-La Mancha, "2009-2010", Mujeres, 284
Castilla-La Mancha, "2008-2009", Total, 1554
Castilla-La Mancha, "2008-2009", Mujeres, 317
Castilla-La Mancha, "2007-2008", Total, 1760
Castilla-La Mancha, "2007-2008", Mujeres, 374
Castilla-La Mancha, "2006-2007", Total, 1995
Castilla-La Mancha, "2006-2007", Mujeres, 409
Castilla-La Mancha, "2005-2006", Total, 2247
Castilla-La Mancha, "2005-2006", Mujeres, 475
Castilla-La Mancha, "2004-2005", Total, 2453
Castilla-La Mancha, "2004-2005", Mujeres, 510
Castilla-La Mancha, "2003-2004", Total, 2566
Castilla-La Mancha, "2003-2004", Mujeres, 546
Castilla-La Mancha, "2002-2003", Total, 2629
Castilla-La Mancha, "2002-2003", Mujeres, 555
Castilla-La Mancha, "2001-2002", Total, 2626
Castilla-La Mancha, "2001-2002", Mujeres, 549
Castilla-La Mancha, "2000-2001", Total, 2588
Castilla-La Mancha, "2000-2001", Mujeres, 543
Castilla-La Mancha, "1999-2000", Total, 2509
Castilla-La Mancha, "1999-2000", Mujeres, 533
Castilla-La Mancha, "1998-1999", Total, 2373
Castilla-La Mancha, "1998-1999", Mujeres, 516
Castilla-La Mancha, "1997-1998", Total, 2337
Castilla-La Mancha, "1997-1998", Mujeres, 535
Castilla-La Mancha, "1996-1997", Total, 2197
Castilla-La Mancha, "1996-1997", Mujeres, 504
Castilla-La Mancha, "1995-1996", Total, 2053
Castilla-La Mancha, "1995-1996", Mujeres, 497
Castilla-La Mancha, "1994-1995", Total, 1913
Castilla-La Mancha, "1994-1995", Mujeres, 443
Castilla-La Mancha, "1993-1994", Total, 1796
Castilla-La Mancha, "1993-1994", Mujeres, 418
Castilla-La Mancha, "1992-1993", Total, 1741
Castilla-La Mancha, "1992-1993", Mujeres, 428
Castilla-La Mancha, "1991-1992", Total, 1459
Castilla-La Mancha, "1991-1992", Mujeres, 352
Castilla-La Mancha, "1990-1991", Total, 1383
Castilla-La Mancha, "1990-1991", Mujeres, 353
Castilla-La Mancha, "1989-1990", Total, 939
Castilla-La Mancha, "1989-1990", Mujeres, 226
Castilla-La Mancha, "1988-1989", Total, 757
Castilla-La Mancha, "1988-1989", Mujeres, 199
Castilla-La Mancha, "1987-1988", Total, 596
Castilla-La Mancha, "1987-1988", Mujeres, 165
Castilla-La Mancha, "1986-1987", Total, 448
Castilla-La Mancha, "1986-1987", Mujeres, 131
Castilla-La Mancha, "1985-1986", Total, 255
Castilla-La Mancha, "1985-1986", Mujeres, 63
Complutense de Madrid, "2016-2017", Total, 1377
Complutense de Madrid, "2016-2017", Mujeres, 190
Complutense de Madrid, "2015-2016", Total, 1245
Complutense de Madrid, "2015-2016", Mujeres, 183
Complutense de Madrid, "2014-2015", Total, 1260
Complutense de Madrid, "2014-2015", Mujeres, 186
Complutense de Madrid, "2013-2014", Total, 1379
Complutense de Madrid, "2013-2014", Mujeres, 205
Complutense de Madrid, "2012-2013", Total, 1545
Complutense de Madrid, "2012-2013", Mujeres, 263
Complutense de Madrid, "2011-2012", Total, 1759
Complutense de Madrid, "2011-2012", Mujeres, 314
Complutense de Madrid, "2010-2011", Total, 1905
Complutense de Madrid, "2010-2011", Mujeres, 345
Complutense de Madrid, "2009-2010", Total, 2049
Complutense de Madrid, "2009-2010", Mujeres, 365
Complutense de Madrid, "2008-2009", Total, 2292
Complutense de Madrid, "2008-2009", Mujeres, 425
Complutense de Madrid, "2007-2008", Total, 2406
Complutense de Madrid, "2007-2008", Mujeres, 443
Complutense de Madrid, "2006-2007", Total, 2553
Complutense de Madrid, "2006-2007", Mujeres, 491
Complutense de Madrid, "2005-2006", Total, 2630
Complutense de Madrid, "2005-2006", Mujeres, 532
Complutense de Madrid, "2004-2005", Total, 2583
Complutense de Madrid, "2004-2005", Mujeres, 530
Complutense de Madrid, "2003-2004", Total, 2385
Complutense de Madrid, "2003-2004", Mujeres, 531
Complutense de Madrid, "2002-2003", Total, 2192
Complutense de Madrid, "2002-2003", Mujeres, 529
Complutense de Madrid, "2001-2002", Total, 2063
Complutense de Madrid, "2001-2002", Mujeres, 518
Complutense de Madrid, "2000-2001", Total, 1982
Complutense de Madrid, "2000-2001", Mujeres, 519
Complutense de Madrid, "1999-2000", Total, 1768
Complutense de Madrid, "1999-2000", Mujeres, 439
Complutense de Madrid, "1998-1999", Total, 1550
Complutense de Madrid, "1998-1999", Mujeres, 389
Complutense de Madrid, "1997-1998", Total, 1463
Complutense de Madrid, "1997-1998", Mujeres, 370
Complutense de Madrid, "1996-1997", Total, 1415
Complutense de Madrid, "1996-1997", Mujeres, 371
Complutense de Madrid, "1995-1996", Total, 1283
Complutense de Madrid, "1995-1996", Mujeres, 354
Complutense de Madrid, "1994-1995", Total, 1076
Complutense de Madrid, "1994-1995", Mujeres, 303
Complutense de Madrid, "1993-1994", Total, 884
Complutense de Madrid, "1993-1994", Mujeres, 257
Complutense de Madrid, "1992-1993", Total, 442
Complutense de Madrid, "1992-1993", Mujeres, 141
Complutense de Madrid, "1991-1992", Total, 246
Complutense de Madrid, "1991-1992", Mujeres, 89
Cádiz, "2016-2017", Total, 764
Cádiz, "2016-2017", Mujeres, 102
Cádiz, "2015-2016", Total, 589
Cádiz, "2015-2016", Mujeres, 53
Cádiz, "2014-2015", Total, 615
Cádiz, "2014-2015", Mujeres, 66
Cádiz, "2013-2014", Total, 671
Cádiz, "2013-2014", Mujeres, 75
Cádiz, "2012-2013", Total, 774
Cádiz, "2012-2013", Mujeres, 104
Cádiz, "2011-2012", Total, 793
Cádiz, "2011-2012", Mujeres, 126
Cádiz, "2010-2011", Total, 803
Cádiz, "2010-2011", Mujeres, 131
